simulationId,fromRound,toRound,pairId,opponentFrom,opponentTo,opponentChanged
132,8,9,P1|P20,P17|P5,P11|P14,true
133,9,10,P1|P2,P16|P3,P13|P18,true
134,5,6,P1|P9,P13|P8,P10|P14,true
136,9,10,P5|P7,P11|P3,P2|P3,true
138,3,4,P8|P9,P13|P7,P1|P5,true
139,6,7,P19|P7,P4|P5,P10|P9,true
139,8,9,P15|P9,P1|P19,P11|P6,true
142,5,6,P20|P4,P1|P19,P15|P6,true
143,5,6,P1|P10,P13|P14,P15|P18,true
143,9,10,P4|P7,P13|P17,P10|P3,true
143,9,10,P10|P3,P15|P5,P4|P7,true
144,4,5,P14|P4,P2|P20,P6|P9,true
146,8,9,P12|P19,P2|P6,P3|P4,true
147,3,4,P13|P17,P19|P5,P8|P9,true
147,5,6,P19|P6,P14|P16,P10|P8,true
147,5,6,P10|P8,P2|P20,P19|P6,true
149,6,7,P5|P6,P17|P20,P12|P9,true
149,8,9,P1|P2,P18|P20,P11|P19,true
149,9,10,P5|P7,P15|P4,P19|P8,true
151,7,8,P16|P20,P19|P6,P11|P4,true
151,8,9,P13|P9,P3|P5,P18|P3,true
153,8,9,P12|P19,P18|P6,P1|P15,true
154,8,9,P19|P2,P3|P8,P13|P16,true
158,8,9,P14|P19,P16|P2,P3|P8,true
159,9,10,P10|P7,P4|P5,P12|P15,true
162,6,7,P8|P9,P11|P20,P18|P3,true
162,8,9,P14|P15,P13|P3,P1|P12,true
165,6,7,P12|P19,P3|P9,P1|P9,true
169,3,4,P7|P9,P1|P12,P20|P5,true
171,3,4,P15|P20,P4|P5,P10|P12,true
171,7,8,P20|P9,P19|P2,P15|P19,true
175,3,4,P15|P20,P14|P3,P13|P6,true
177,7,8,P3|P4,P13|P19,P17|P20,true
177,8,9,P2|P9,P12|P16,P10|P4,true
179,5,6,P1|P19,P12|P20,P13|P2,true
181,3,4,P1|P10,P16|P8,P12|P2,true
181,7,8,P10|P14,P13|P6,P3|P5,true
182,7,8,P15|P5,P10|P16,P12|P6,true
182,9,10,P3|P4,P13|P18,P1|P2,true
183,6,7,P5|P9,P11|P16,P16|P7,true
184,5,6,P3|P5,P12|P17,P14|P8,true
184,5,6,P12|P17,P3|P5,P4|P6,true
