simulationId,fromRound,toRound,pairId,opponentFrom,opponentTo,opponentChanged
116,7,8,P1|P17,P18|P20,P2|P8,true
119,3,4,P4|P8,P10|P3,P17|P6,true
119,4,5,P13|P18,P19|P7,P1|P4,true
119,6,7,P13|P8,P2|P5,P16|P9,true
120,7,8,P19|P6,P14|P3,P17|P18,true
121,9,10,P14|P20,P15|P2,P3|P8,true
122,5,6,P16|P6,P10|P18,P5|P9,true
122,6,7,P10|P11,P12|P14,P18|P19,true
123,1,2,P11|P12,P10|P19,P16|P9,true
123,6,7,P16|P18,P2|P6,P7|P9,true
124,3,4,P1|P17,P13|P7,P16|P2,true
126,3,4,P3|P6,P18|P2,P1|P19,true
127,7,8,P19|P20,P16|P18,P15|P4,true
128,5,6,P15|P4,P1|P11,P3|P7,true
130,9,10,P14|P8,P10|P17,P5|P6,true
131,9,10,P6|P7,P12|P19,P1|P9,true
131,9,10,P16|P20,P13|P5,P17|P2,true
132,7,8,P12|P19,P17|P9,P15|P16,true
133,6,7,P18|P7,P12|P5,P10|P4,true
138,3,4,P14|P3,P1|P9,P12|P5,true
138,3,4,P1|P9,P14|P3,P2|P8,true
138,4,5,P11|P13,P17|P6,P14|P7,true
141,9,10,P11|P8,P15|P7,P10|P9,true
142,6,7,P7|P9,P12|P18,P17|P4,true
147,3,4,P1|P9,P15|P16,P14|P2,true
147,5,6,P2|P3,P1|P11,P13|P6,true
148,5,6,P2|P3,P16|P19,P4|P8,true
148,7,8,P16|P20,P13|P14,P15|P2,true
151,6,7,P15|P8,P6|P7,P18|P5,true
151,8,9,P17|P5,P13|P7,P1|P2,true
151,9,10,P13|P19,P14|P4,P16|P4,true
152,8,9,P13|P3,P14|P9,P15|P5,true
155,6,7,P16|P9,P12|P7,P14|P20,true
156,6,7,P20|P9,P1|P17,P13|P16,true
159,9,10,P1|P2,P10|P7,P20|P6,true
161,5,6,P18|P7,P10|P15,P16|P20,true
162,6,7,P10|P3,P14|P8,P2|P7,true
163,4,5,P7|P9,P11|P2,P19|P8,true
163,6,7,P18|P19,P15|P8,P17|P3,true
164,4,5,P1|P2,P3|P5,P12|P8,true
164,5,6,P1|P2,P12|P8,P17|P4,true
168,5,6,P19|P2,P20|P9,P1|P16,true
168,7,8,P15|P4,P14|P3,P12|P20,true
171,7,8,P14|P8,P19|P5,P3|P5,true
171,8,9,P10|P9,P1|P12,P16|P8,true
171,9,10,P11|P13,P1|P2,P12|P7,true
173,7,8,P16|P4,P5|P9,P1|P7,true
173,8,9,P12|P18,P11|P3,P16|P19,true
175,3,4,P12|P16,P17|P2,P3|P5,true
175,9,10,P4|P5,P17|P3,P10|P11,true
176,8,9,P18|P8,P19|P7,P12|P14,true
177,9,10,P14|P3,P10|P9,P11|P8,true
182,8,9,P14|P5,P1|P11,P13|P7,true
182,9,10,P6|P9,P10|P11,P12|P16,true
185,8,9,P10|P13,P2|P20,P15|P16,true
186,4,5,P1|P15,P3|P6,P11|P9,true
186,8,9,P12|P16,P4|P8,P1|P10,true
187,3,4,P2|P20,P1|P12,P10|P3,true
188,4,5,P11|P15,P14|P4,P13|P17,true
188,9,10,P1|P7,P16|P2,P11|P15,true
190,5,6,P12|P9,P13|P14,P17|P8,true
192,5,6,P2|P9,P14|P6,P14|P3,true
194,3,4,P14|P4,P5|P9,P10|P3,true
194,8,9,P13|P16,P12|P18,P11|P9,true
196,3,4,P14|P9,P10|P6,P18|P3,true
196,7,8,P17|P9,P10|P20,P15|P19,true
197,5,6,P13|P2,P15|P17,P10|P8,true
198,8,9,P18|P20,P15|P8,P11|P3,true
199,3,4,P15|P19,P1|P20,P10|P17,true
200,7,8,P17|P2,P12|P18,P20|P8,true
203,6,7,P15|P8,P10|P17,P20|P7,true
