simulationId,fromRound,toRound,pairId,opponentFrom,opponentTo,opponentChanged
1,7,8,P12|P15,P14|P2,P13|P18,true
1,8,9,P3|P7,P2|P5,P11|P12,true
5,6,7,P20|P9,P11|P2,P13|P5,true
7,4,5,P11|P2,P4|P8,P19|P20,true
8,5,6,P20|P7,P15|P16,P5|P8,true
10,9,10,P1|P6,P12|P2,P16|P8,true
12,4,5,P3|P4,P11|P14,P10|P13,true
13,9,10,P2|P6,P12|P20,P16|P3,true
13,9,10,P4|P7,P11|P16,P11|P5,true
14,8,9,P19|P4,P10|P8,P1|P3,true
15,6,7,P20|P4,P15|P5,P11|P8,true
15,8,9,P15|P17,P13|P9,P1|P14,true
16,5,6,P5|P6,P13|P18,P20|P4,true
16,9,10,P17|P19,P15|P5,P12|P4,true
17,8,9,P12|P14,P10|P15,P3|P9,true
20,6,7,P18|P20,P14|P7,P5|P8,true
21,8,9,P13|P17,P12|P20,P12|P6,true
21,9,10,P8|P9,P18|P5,P2|P7,true
22,9,10,P11|P16,P5|P6,P14|P9,true
23,7,8,P18|P2,P15|P8,P17|P19,true
24,6,7,P8|P9,P13|P15,P2|P7,true
25,9,10,P11|P15,P1|P8,P16|P7,true
26,3,4,P13|P6,P15|P9,P2|P20,true
26,5,6,P14|P19,P10|P12,P11|P16,true
30,4,5,P12|P5,P1|P9,P1|P7,true
32,3,4,P14|P4,P16|P8,P20|P6,true
32,3,4,P16|P8,P14|P4,P11|P13,true
32,6,7,P17|P9,P10|P8,P18|P2,true
35,7,8,P11|P8,P10|P19,P14|P9,true
37,5,6,P15|P2,P4|P9,P3|P5,true
37,9,10,P10|P9,P13|P3,P12|P8,true
38,6,7,P18|P7,P14|P5,P15|P19,true
39,5,6,P14|P6,P17|P19,P3|P4,true
45,9,10,P13|P7,P1|P3,P6|P9,true
50,5,6,P13|P15,P4|P6,P5|P9,true
50,7,8,P14|P2,P20|P8,P1|P6,true
51,7,8,P13|P4,P16|P5,P1|P17,true
55,9,10,P1|P12,P3|P4,P14|P18,true
58,5,6,P19|P3,P5|P6,P14|P4,true
60,8,9,P3|P7,P10|P14,P16|P2,true
64,7,8,P5|P6,P1|P7,P17|P8,true
