simulationId,fromRound,toRound,pairId,opponentFrom,opponentTo,opponentChanged
1,9,10,P18|P9,P10|P2,P16|P17,true
2,5,6,P5|P8,P1|P6,P10|P19,true
3,9,10,P10|P13,P15|P5,P20|P6,true
4,5,6,P3|P8,P11|P9,P5|P7,true
4,7,8,P1|P12,P3|P9,P11|P17,true
7,8,9,P16|P7,P14|P8,P13|P15,true
8,5,6,P10|P3,P19|P6,P8|P9,true
10,5,6,P13|P7,P18|P3,P2|P6,true
12,7,8,P2|P9,P14|P3,P10|P19,true
13,7,8,P10|P11,P15|P6,P19|P2,true
16,7,8,P1|P5,P15|P6,P11|P14,true
17,4,5,P11|P5,P12|P13,P15|P20,true
20,5,6,P1|P8,P5|P7,P18|P3,true
20,5,6,P18|P3,P11|P12,P1|P8,true
23,7,8,P7|P8,P16|P5,P1|P19,true
24,8,9,P2|P9,P17|P6,P11|P16,true
25,5,6,P12|P18,P2|P5,P14|P8,true
25,8,9,P10|P11,P1|P9,P20|P6,true
28,8,9,P15|P2,P19|P6,P10|P3,true
29,4,5,P3|P7,P11|P16,P14|P8,true
29,7,8,P16|P8,P15|P18,P13|P6,true
31,7,8,P12|P7,P16|P20,P11|P6,true
32,5,6,P20|P4,P12|P2,P1|P6,true
34,6,7,P14|P19,P2|P8,P1|P18,true
34,6,7,P13|P20,P17|P6,P10|P7,true
36,9,10,P15|P2,P13|P18,P17|P3,true
37,6,7,P15|P20,P14|P2,P6|P8,true
37,9,10,P1|P14,P13|P5,P13|P8,true
38,4,5,P3|P9,P1|P15,P20|P8,true
39,8,9,P18|P9,P16|P17,P7|P8,true
41,3,4,P12|P2,P10|P7,P1|P20,true
41,9,10,P14|P15,P12|P16,P7|P9,true
42,7,8,P16|P9,P13|P4,P1|P11,true
47,9,10,P12|P15,P3|P9,P10|P4,true
48,6,7,P1|P18,P4|P8,P14|P2,true
48,6,7,P3|P6,P20|P5,P13|P17,true
52,5,6,P1|P10,P15|P19,P14|P3,true
54,7,8,P1|P15,P12|P17,P10|P20,true
55,5,6,P10|P15,P11|P13,P16|P17,true
55,8,9,P12|P14,P13|P7,P17|P5,true
55,9,10,P12|P14,P17|P5,P11|P20,true
56,2,3,P10|P13,P3|P4,P18|P20,true
56,6,7,P18|P19,P5|P6,P17|P8,true
58,5,6,P14|P2,P1|P17,P16|P18,true
58,7,8,P13|P2,P18|P9,P11|P19,true
58,9,10,P18|P4,P1|P6,P10|P19,true
59,8,9,P16|P5,P19|P20,P3|P8,true
59,9,10,P1|P11,P20|P4,P7|P9,true
62,3,4,P18|P5,P10|P12,P14|P9,true
62,4,5,P17|P4,P3|P8,P11|P18,true
62,7,8,P19|P2,P3|P7,P5|P9,true
62,7,8,P5|P9,P6|P8,P19|P2,true
65,6,7,P12|P8,P4|P5,P15|P18,true
65,6,7,P1|P19,P10|P7,P17|P5,true
67,7,8,P11|P15,P19|P5,P14|P6,true
67,8,9,P1|P4,P3|P7,P13|P8,true
71,8,9,P15|P9,P4|P5,P16|P17,true
74,9,10,P4|P9,P1|P3,P11|P16,true
75,3,4,P14|P9,P3|P8,P18|P5,true
75,8,9,P10|P18,P4|P8,P19|P2,true
76,4,5,P13|P18,P1|P11,P2|P6,true
77,3,4,P12|P9,P5|P6,P2|P7,true
77,8,9,P10|P13,P1|P12,P5|P9,true
78,6,7,P18|P2,P1|P16,P10|P7,true
78,9,10,P11|P17,P16|P9,P3|P8,true
79,8,9,P15|P20,P4|P9,P5|P6,true
80,3,4,P13|P3,P10|P2,P1|P5,true
80,4,5,P15|P9,P6|P8,P1|P17,true
81,9,10,P17|P19,P1|P20,P12|P15,true
82,5,6,P15|P4,P14|P19,P1|P10,true
83,7,8,P10|P16,P18|P7,P4|P5,true
84,6,7,P1|P13,P12|P2,P20|P4,true
87,5,6,P3|P7,P16|P17,P14|P9,true
87,9,10,P2|P7,P11|P5,P13|P6,true
89,7,8,P11|P15,P20|P6,P19|P5,true
101,5,6,P10|P15,P11|P18,P7|P9,true
104,7,8,P13|P4,P17|P2,P14|P6,true
106,4,5,P5|P6,P13|P8,P16|P2,true
109,7,8,P10|P2,P12|P8,P11|P17,true
111,5,6,P14|P15,P17|P19,P13|P4,true
113,4,5,P4|P8,P19|P7,P10|P13,true
114,5,6,P7|P9,P15|P18,P4|P5,true
117,5,6,P12|P14,P10|P11,P15|P7,true
117,9,10,P10|P19,P15|P2,P5|P9,true
118,6,7,P10|P18,P17|P9,P12|P14,true
118,9,10,P4|P9,P13|P15,P12|P2,true
119,3,4,P6|P8,P10|P3,P18|P7,true
119,8,9,P20|P4,P15|P19,P18|P6,true
119,9,10,P8|P9,P1|P7,P10|P13,true
120,8,9,P10|P13,P18|P9,P16|P20,true
120,8,9,P12|P2,P15|P6,P1|P5,true
121,3,4,P11|P17,P1|P18,P2|P5,true
121,5,6,P14|P18,P10|P7,P12|P3,true
121,6,7,P15|P16,P6|P7,P1|P5,true
