simulationId,fromRound,toRound,pairId,opponentFrom,opponentTo,opponentChanged
1,7,8,P6|P7,P16|P9,P12|P14,true
3,4,5,P2|P6,P15|P5,P13|P18,true
3,9,10,P10|P19,P1|P12,P5|P9,true
3,9,10,P17|P3,P20|P6,P15|P7,true
5,4,5,P15|P20,P14|P16,P12|P19,true
6,5,6,P16|P17,P13|P19,P12|P20,true
6,6,7,P14|P15,P10|P11,P2|P7,true
8,8,9,P11|P3,P1|P17,P19|P9,true
9,5,6,P18|P2,P1|P7,P19|P5,true
9,7,8,P19|P8,P4|P6,P15|P5,true
10,3,4,P1|P10,P8|P9,P15|P18,true
13,7,8,P18|P7,P2|P4,P5|P9,true
13,9,10,P20|P5,P10|P18,P12|P9,true
15,8,9,P7|P9,P13|P4,P1|P6,true
16,9,10,P1|P10,P20|P6,P14|P9,true
17,9,10,P10|P19,P13|P9,P12|P14,true
18,5,6,P5|P9,P20|P8,P10|P12,true
18,9,10,P18|P7,P10|P5,P16|P20,true
20,9,10,P10|P19,P14|P9,P12|P4,true
21,9,10,P15|P3,P20|P8,P19|P2,true
23,7,8,P14|P6,P13|P15,P12|P8,true
24,9,10,P15|P9,P10|P17,P20|P4,true
31,5,6,P19|P9,P14|P7,P1|P18,true
32,9,10,P19|P2,P5|P8,P14|P16,true
33,5,6,P10|P6,P16|P5,P13|P8,true
33,5,6,P16|P5,P10|P6,P1|P3,true
34,8,9,P10|P20,P12|P8,P14|P17,true
35,8,9,P15|P2,P12|P14,P4|P9,true
40,4,5,P18|P7,P4|P5,P1|P2,true
41,5,6,P11|P19,P15|P16,P10|P9,true
42,7,8,P14|P4,P17|P9,P20|P3,true
44,7,8,P16|P4,P13|P7,P12|P8,true
47,7,8,P20|P3,P14|P5,P12|P16,true
48,6,7,P10|P6,P12|P15,P16|P2,true
50,4,5,P15|P18,P13|P9,P13|P7,true
50,7,8,P2|P9,P10|P14,P15|P8,true
51,4,5,P12|P17,P10|P18,P6|P9,true
52,8,9,P10|P8,P1|P19,P14|P2,true
54,3,4,P10|P18,P19|P2,P16|P8,true
56,7,8,P10|P13,P1|P15,P8|P9,true
56,7,8,P2|P5,P14|P9,P18|P3,true
56,8,9,P12|P17,P16|P4,P14|P8,true
56,8,9,P10|P13,P8|P9,P20|P3,true
59,5,6,P10|P7,P3|P4,P15|P17,true
59,7,8,P12|P13,P17|P19,P4|P8,true
61,3,4,P20|P6,P12|P13,P3|P4,true
63,5,6,P13|P3,P19|P6,P15|P9,true
64,8,9,P15|P3,P18|P7,P12|P13,true
68,4,5,P11|P13,P20|P4,P12|P14,true
69,9,10,P20|P9,P15|P3,P11|P17,true
70,8,9,P14|P6,P11|P18,P12|P17,true
71,5,6,P20|P8,P15|P7,P11|P14,true
74,5,6,P5|P9,P10|P19,P1|P6,true
75,5,6,P4|P8,P15|P3,P2|P6,true
79,3,4,P13|P14,P16|P17,P18|P8,true
79,4,5,P16|P4,P20|P3,P5|P6,true
79,6,7,P8|P9,P3|P6,P12|P3,true
81,3,4,P15|P3,P10|P2,P17|P18,true
81,8,9,P20|P6,P12|P13,P1|P15,true
82,2,3,P12|P13,P11|P9,P3|P6,true
83,5,6,P1|P7,P11|P12,P14|P3,true
83,7,8,P12|P4,P17|P9,P16|P9,true
84,6,7,P2|P3,P17|P9,P10|P15,true
84,6,7,P11|P5,P4|P7,P13|P17,true
85,9,10,P11|P2,P13|P3,P12|P20,true
89,6,7,P12|P6,P10|P2,P10|P7,true
89,8,9,P14|P20,P2|P5,P11|P7,true
90,7,8,P18|P3,P13|P15,P12|P7,true
90,9,10,P2|P6,P11|P4,P12|P20,true
92,3,4,P17|P4,P15|P6,P18|P3,true
93,7,8,P14|P17,P6|P9,P15|P4,true
94,9,10,P1|P13,P17|P4,P10|P20,true
95,3,4,P19|P8,P10|P6,P2|P9,true
95,9,10,P14|P6,P17|P7,P18|P5,true
96,7,8,P19|P4,P18|P6,P13|P14,true
96,8,9,P12|P8,P20|P7,P16|P19,true
98,4,5,P11|P19,P1|P10,P14|P3,true
99,6,7,P7|P9,P17|P4,P13|P15,true
100,7,8,P11|P5,P15|P17,P10|P2,true
100,8,9,P12|P7,P14|P3,P1|P15,true
101,6,7,P16|P19,P1|P7,P17|P2,true
104,5,6,P5|P6,P12|P8,P2|P7,true
104,6,7,P2|P7,P5|P6,P14|P15,true
105,9,10,P10|P18,P16|P5,P6|P9,true
106,6,7,P12|P9,P1|P17,P2|P8,true
106,7,8,P16|P3,P17|P19,P13|P20,true
107,5,6,P15|P17,P4|P7,P11|P6,true
107,8,9,P17|P5,P1|P10,P16|P20,true
109,8,9,P1|P12,P10|P20,P13|P5,true
110,7,8,P11|P5,P1|P6,P16|P17,true
111,2,3,P13|P9,P11|P7,P12|P18,true
111,7,8,P17|P6,P13|P14,P11|P15,true
115,6,7,P1|P10,P8|P9,P2|P5,true
117,9,10,P14|P18,P7|P8,P1|P19,true
118,6,7,P1|P18,P10|P14,P17|P2,true
119,6,7,P15|P9,P17|P4,P10|P6,true
119,9,10,P10|P2,P16|P18,P12|P3,true
123,9,10,P2|P9,P15|P20,P3|P5,true
126,6,7,P14|P17,P6|P9,P2|P7,true
127,5,6,P20|P3,P14|P2,P16|P5,true
127,6,7,P16|P5,P20|P3,P10|P4,true
127,7,8,P19|P7,P1|P11,P12|P15,true
130,4,5,P1|P8,P11|P5,P10|P15,true
130,9,10,P2|P7,P13|P16,P4|P6,true
132,4,5,P4|P5,P1|P16,P17|P3,true
133,3,4,P13|P16,P18|P2,P10|P12,true
133,3,4,P1|P6,P3|P5,P4|P8,true
133,9,10,P11|P9,P16|P6,P17|P8,true
134,6,7,P13|P19,P12|P5,P2|P7,true
134,8,9,P18|P7,P13|P2,P10|P15,true
135,5,6,P14|P4,P17|P9,P1|P6,true
136,9,10,P13|P18,P4|P6,P17|P20,true
137,5,6,P10|P6,P11|P13,P14|P2,true
137,8,9,P2|P3,P13|P7,P10|P14,true
140,4,5,P16|P8,P15|P7,P13|P9,true
143,3,4,P19|P2,P12|P13,P17|P5,true
143,5,6,P10|P6,P13|P7,P14|P4,true
143,8,9,P11|P12,P10|P16,P2|P9,true
144,7,8,P13|P6,P1|P8,P20|P4,true
145,7,8,P1|P20,P16|P9,P15|P8,true
146,5,6,P13|P7,P17|P20,P1|P19,true
146,7,8,P15|P9,P1|P17,P13|P18,true
147,7,8,P11|P13,P17|P3,P15|P18,true
152,4,5,P14|P5,P4|P8,P1|P15,true
152,5,6,P1|P15,P14|P5,P20|P4,true
152,8,9,P15|P16,P17|P7,P20|P3,true
152,9,10,P18|P8,P14|P6,P1|P2,true
153,5,6,P1|P4,P18|P8,P11|P15,true
153,6,7,P3|P5,P20|P7,P10|P9,true
153,8,9,P13|P4,P17|P20,P18|P5,true
154,9,10,P11|P17,P5|P6,P2|P8,true
156,3,4,P3|P6,P19|P4,P14|P20,true
156,4,5,P1|P8,P15|P16,P19|P7,true
158,5,6,P4|P7,P10|P20,P5|P8,true
159,3,4,P14|P18,P3|P8,P13|P17,true
159,6,7,P11|P3,P10|P7,P18|P2,true
159,8,9,P14|P8,P12|P20,P19|P4,true
161,5,6,P3|P9,P12|P2,P2|P20,true
161,8,9,P10|P13,P20|P4,P16|P7,true
163,6,7,P7|P9,P1|P2,P11|P14,true
164,6,7,P18|P8,P17|P9,P19|P6,true
165,5,6,P16|P6,P12|P5,P18|P2,true
166,2,3,P6|P9,P11|P20,P17|P4,true
166,5,6,P4|P8,P16|P2,P5|P9,true
167,3,4,P17|P19,P15|P4,P10|P2,true
168,7,8,P20|P8,P11|P4,P13|P9,true
169,6,7,P14|P15,P13|P5,P11|P8,true
169,8,9,P14|P16,P18|P3,P20|P4,true
169,9,10,P19|P5,P1|P17,P7|P9,true
173,9,10,P19|P5,P16|P2,P13|P15,true
173,9,10,P1|P7,P14|P9,P16|P20,true
174,7,8,P1|P6,P2|P5,P3|P7,true
176,9,10,P12|P6,P13|P2,P10|P14,true
177,8,9,P14|P7,P12|P17,P15|P9,true
178,5,6,P15|P3,P12|P7,P13|P20,true
178,6,7,P17|P2,P12|P18,P8|P9,true
179,5,6,P15|P6,P13|P20,P14|P9,true
180,3,4,P1|P7,P10|P2,P6|P9,true
181,8,9,P8|P9,P20|P7,P13|P6,true
183,5,6,P13|P3,P11|P18,P4|P8,true
184,5,6,P12|P18,P1|P14,P1|P17,true
184,8,9,P17|P20,P15|P5,P14|P19,true
186,3,4,P15|P4,P12|P13,P16|P18,true
186,9,10,P11|P18,P10|P14,P16|P2,true
188,5,6,P10|P2,P19|P9,P20|P5,true
188,8,9,P4|P6,P12|P17,P16|P3,true
188,8,9,P11|P13,P16|P9,P12|P18,true
189,5,6,P13|P8,P11|P4,P10|P9,true
191,6,7,P15|P4,P2|P7,P20|P3,true
192,1,2,P16|P17,P14|P19,P13|P7,true
193,5,6,P15|P9,P3|P4,P13|P19,true
195,4,5,P1|P19,P11|P6,P14|P7,true
195,8,9,P16|P7,P14|P2,P12|P3,true
196,7,8,P11|P9,P1|P20,P10|P19,true
196,8,9,P10|P19,P11|P9,P4|P8,true
197,7,8,P10|P18,P13|P15,P2|P6,true
198,6,7,P14|P3,P12|P5,P2|P7,true
198,6,7,P17|P9,P13|P18,P12|P4,true
198,6,7,P16|P19,P10|P11,P20|P5,true
198,7,8,P12|P4,P17|P9,P15|P18,true
198,9,10,P11|P9,P19|P5,P3|P8,true
199,5,6,P14|P16,P2|P4,P19|P9,true
199,8,9,P17|P4,P1|P14,P13|P20,true
201,6,7,P12|P2,P11|P18,P10|P16,true
201,9,10,P1|P3,P13|P6,P4|P7,true
202,9,10,P10|P15,P6|P9,P18|P4,true
206,4,5,P13|P5,P19|P4,P20|P7,true
211,6,7,P17|P2,P10|P4,P12|P3,true
215,6,7,P12|P6,P2|P3,P19|P8,true
216,3,4,P11|P4,P1|P7,P12|P18,true
218,5,6,P10|P9,P1|P17,P18|P20,true
218,6,7,P1|P2,P13|P4,P6|P7,true
220,6,7,P10|P12,P3|P9,P16|P5,true
222,5,6,P16|P18,P14|P7,P11|P13,true
222,5,6,P19|P20,P10|P12,P14|P2,true
223,8,9,P10|P12,P4|P6,P1|P3,true
224,7,8,P20|P8,P18|P2,P10|P3,true
226,4,5,P18|P8,P10|P6,P13|P19,true
226,6,7,P10|P5,P15|P19,P11|P20,true
227,6,7,P13|P6,P11|P9,P12|P7,true
228,5,6,P1|P20,P2|P7,P11|P17,true
228,5,6,P19|P8,P11|P14,P13|P3,true
228,7,8,P12|P17,P10|P20,P1|P3,true
229,9,10,P13|P9,P4|P6,P17|P20,true
230,6,7,P6|P9,P12|P7,P10|P16,true
231,5,6,P15|P3,P13|P17,P14|P2,true
231,7,8,P18|P6,P16|P7,P14|P17,true
