simulationId,numPlayers,numCourts,rounds,avgGamesBetweenBenches,minGamesBetweenBenches,maxGamesBetweenBenches,theoreticalMax
1,17,4,50,15.696969696969697,0,27,16
2,17,4,50,15.848484848484848,2,32,16
3,17,4,50,15.818181818181818,2,31,16
4,17,4,50,15.666666666666666,1,30,16
5,17,4,50,15.757575757575758,4,26,16
6,17,4,50,15.606060606060606,5,30,16
7,17,4,50,15.515151515151516,1,32,16
8,17,4,50,15.696969696969697,1,28,16
9,17,4,50,15.575757575757576,0,29,16
10,17,4,50,15.969696969696969,1,29,16
11,17,4,50,15.727272727272727,3,28,16
12,17,4,50,15.787878787878787,0,28,16
13,17,4,50,15.878787878787879,2,31,16
14,17,4,50,15.757575757575758,0,31,16
15,17,4,50,15.727272727272727,3,28,16
16,17,4,50,15.515151515151516,1,27,16
17,17,4,50,15.515151515151516,0,30,16
18,17,4,50,15.848484848484848,2,30,16
19,17,4,50,15.606060606060606,1,29,16
20,17,4,50,15.757575757575758,6,29,16
21,17,4,50,15.666666666666666,0,30,16
22,17,4,50,15.666666666666666,3,31,16
23,17,4,50,15.757575757575758,3,30,16
24,17,4,50,15.515151515151516,4,31,16
25,17,4,50,15.93939393939394,2,29,16
26,17,4,50,15.757575757575758,1,27,16
27,17,4,50,16,1,28,16
28,17,4,50,15.636363636363637,2,29,16
29,17,4,50,16,3,27,16
30,17,4,50,15.606060606060606,0,28,16
31,17,4,50,15.878787878787879,3,28,16
32,17,4,50,16,2,30,16
33,17,4,50,15.787878787878787,3,32,16
34,17,4,50,15.787878787878787,1,29,16
35,17,4,50,15.545454545454545,3,27,16
36,17,4,50,15.757575757575758,1,32,16
37,17,4,50,15.666666666666666,3,28,16
38,17,4,50,15.93939393939394,6,31,16
39,17,4,50,16,1,31,16
40,17,4,50,15.909090909090908,2,30,16
41,17,4,50,16,2,29,16
42,17,4,50,15.969696969696969,2,30,16
43,17,4,50,15.909090909090908,0,29,16
44,17,4,50,15.606060606060606,2,30,16
45,17,4,50,15.575757575757576,3,29,16
46,17,4,50,15.696969696969697,3,30,16
47,17,4,50,15.545454545454545,4,28,16
48,17,4,50,15.727272727272727,0,29,16
49,17,4,50,15.848484848484848,3,25,16
50,17,4,50,15.545454545454545,3,32,16
51,17,4,50,15.575757575757576,2,28,16
