gamesSinceLastBench,count,numPlayers
0,17530,19
1,33830,19
2,50831,19
3,66720,19
4,83203,19
5,98490,19
6,91839,19
7,75141,19
8,59010,19
9,42513,19
10,25895,19
11,9493,19
12,505,19
