gamesSinceLastBench,count,numPlayers
0,596,17
1,1159,17
2,1737,17
3,2372,17
4,3068,17
5,3524,17
6,3967,17
7,4680,17
8,5213,17
9,5973,17
10,6344,17
11,7074,17
12,7732,17
13,8258,17
14,8792,17
15,9405,17
16,9767,17
17,9201,17
18,8682,17
19,7830,17
20,7374,17
21,6984,17
22,6046,17
23,5527,17
24,4946,17
25,4323,17
26,3749,17
27,3296,17
28,2639,17
29,2141,17
30,1428,17
31,865,17
32,308,17
