simulationId,numPlayers,numCourts,rounds,avgGamesBetweenBenches,minGamesBetweenBenches,maxGamesBetweenBenches,theoreticalMax
1,20,4,50,4,0,8,4
2,20,4,50,4,0,8,4
3,20,4,50,4,0,8,4
4,20,4,50,4,0,8,4
5,20,4,50,4,0,8,4
6,20,4,50,4,0,8,4
7,20,4,50,4,0,8,4
8,20,4,50,4,0,8,4
9,20,4,50,4,0,8,4
10,20,4,50,4,0,8,4
11,20,4,50,4,0,8,4
12,20,4,50,4,0,8,4
13,20,4,50,4,0,8,4
14,20,4,50,4,0,8,4
15,20,4,50,4,0,8,4
16,20,4,50,4,0,8,4
17,20,4,50,4,0,8,4
18,20,4,50,4,0,8,4
19,20,4,50,4,0,8,4
20,20,4,50,4,0,8,4
21,20,4,50,4,0,8,4
22,20,4,50,4,0,8,4
23,20,4,50,4,0,8,4
24,20,4,50,4,0,8,4
25,20,4,50,4,0,8,4
26,20,4,50,4,0,8,4
27,20,4,50,4,0,8,4
28,20,4,50,4,0,8,4
29,20,4,50,4,0,8,4
30,20,4,50,4,0,8,4
31,20,4,50,4,0,8,4
32,20,4,50,4,0,8,4
33,20,4,50,4,0,8,4
34,20,4,50,4,0,8,4
35,20,4,50,4,0,8,4
36,20,4,50,4,0,8,4
37,20,4,50,4,0,8,4
38,20,4,50,4,0,8,4
39,20,4,50,4,0,8,4
40,20,4,50,4,0,8,4
41,20,4,50,4,0,8,4
42,20,4,50,4,0,8,4
43,20,4,50,4,0,8,4
44,20,4,50,4,0,8,4
45,20,4,50,4,0,8,4
46,20,4,50,4,0,8,4
47,20,4,50,4,0,8,4
48,20,4,50,4,0,8,4
49,20,4,50,4,0,8,4
50,20,4,50,4,0,8,4
51,20,4,50,4,0,8,4
52,20,4,50,4,0,8,4
53,20,4,50,4,0,8,4
54,20,4,50,4,0,8,4
55,20,4,50,4,0,8,4
56,20,4,50,4,0,8,4
57,20,4,50,4,0,8,4
58,20,4,50,4,1,8,4
59,20,4,50,4,0,8,4
60,20,4,50,4,0,8,4
61,20,4,50,4,0,8,4
62,20,4,50,4,0,8,4
63,20,4,50,4,0,8,4
64,20,4,50,4,0,8,4
65,20,4,50,4,0,8,4
66,20,4,50,4,0,8,4
67,20,4,50,4,0,8,4
68,20,4,50,4,0,8,4
69,20,4,50,4,0,8,4
70,20,4,50,4,0,8,4
71,20,4,50,4,0,8,4
72,20,4,50,4,0,8,4
73,20,4,50,4,0,8,4
74,20,4,50,4,0,8,4
75,20,4,50,4,0,8,4
76,20,4,50,4,0,8,4
77,20,4,50,4,0,8,4
78,20,4,50,4,0,8,4
79,20,4,50,4,0,8,4
80,20,4,50,4,0,8,4
81,20,4,50,4,0,8,4
82,20,4,50,4,0,8,4
83,20,4,50,4,0,8,4
84,20,4,50,4,0,8,4
85,20,4,50,4,0,8,4
86,20,4,50,4,0,8,4
87,20,4,50,4,0,8,4
88,20,4,50,4,0,8,4
89,20,4,50,4,0,8,4
90,20,4,50,4,0,8,4
91,20,4,50,4,0,8,4
92,20,4,50,4,0,8,4
93,20,4,50,4,0,8,4
94,20,4,50,4,0,8,4
95,20,4,50,4,0,8,4
96,20,4,50,4,0,8,4
97,20,4,50,4,0,8,4
98,20,4,50,4,0,8,4
99,20,4,50,4,0,8,4
100,20,4,50,4,0,8,4
101,20,4,50,4,0,8,4
102,20,4,50,4,0,8,4
103,20,4,50,4,0,8,4
104,20,4,50,4,0,8,4
105,20,4,50,4,0,8,4
106,20,4,50,4,0,8,4
107,20,4,50,4,0,8,4
108,20,4,50,4,0,8,4
109,20,4,50,4,0,8,4
110,20,4,50,4,0,8,4
111,20,4,50,4,0,8,4
112,20,4,50,4,0,8,4
113,20,4,50,4,0,8,4
114,20,4,50,4,0,8,4
115,20,4,50,4,0,8,4
116,20,4,50,4,0,8,4
117,20,4,50,4,0,8,4
118,20,4,50,4,0,8,4
119,20,4,50,4,0,8,4
120,20,4,50,4,0,8,4
121,20,4,50,4,0,8,4
122,20,4,50,4,0,8,4
123,20,4,50,4,0,8,4
124,20,4,50,4,0,8,4
125,20,4,50,4,0,8,4
126,20,4,50,4,0,8,4
127,20,4,50,4,0,8,4
128,20,4,50,4,0,8,4
129,20,4,50,4,0,8,4
130,20,4,50,4,0,8,4
131,20,4,50,4,0,8,4
132,20,4,50,4,0,8,4
133,20,4,50,4,0,8,4
134,20,4,50,4,0,8,4
135,20,4,50,4,0,8,4
136,20,4,50,4,0,8,4
137,20,4,50,4,0,8,4
138,20,4,50,4,0,8,4
