simulationId,numPlayers,numCourts,rounds,avgGamesBetweenBenches,minGamesBetweenBenches,maxGamesBetweenBenches,theoreticalMax
1,17,4,50,15.818181818181818,2,32,16
2,17,4,50,15.969696969696969,0,29,16
3,17,4,50,15.666666666666666,1,29,16
4,17,4,50,15.818181818181818,1,29,16
5,17,4,50,15.545454545454545,2,27,16
6,17,4,50,15.757575757575758,4,27,16
7,17,4,50,15.848484848484848,2,30,16
8,17,4,50,15.878787878787879,2,25,16
9,17,4,50,15.818181818181818,3,30,16
10,17,4,50,15.666666666666666,4,28,16
11,17,4,50,15.727272727272727,1,30,16
12,17,4,50,16,2,29,16
13,17,4,50,15.848484848484848,3,26,16
14,17,4,50,15.636363636363637,3,30,16
15,17,4,50,15.848484848484848,1,31,16
16,17,4,50,15.93939393939394,3,29,16
17,17,4,50,15.727272727272727,3,31,16
18,17,4,50,15.606060606060606,1,29,16
19,17,4,50,15.515151515151516,4,29,16
20,17,4,50,15.575757575757576,1,30,16
21,17,4,50,15.636363636363637,2,29,16
22,17,4,50,15.606060606060606,2,31,16
23,17,4,50,15.818181818181818,4,32,16
24,17,4,50,15.575757575757576,4,30,16
25,17,4,50,15.818181818181818,1,30,16
26,17,4,50,15.636363636363637,0,31,16
27,17,4,50,15.878787878787879,0,29,16
28,17,4,50,15.545454545454545,3,28,16
29,17,4,50,15.727272727272727,1,31,16
30,17,4,50,16,0,27,16
31,17,4,50,15.818181818181818,4,31,16
32,17,4,50,15.818181818181818,0,29,16
33,17,4,50,15.757575757575758,2,29,16
34,17,4,50,15.727272727272727,1,31,16
35,17,4,50,15.969696969696969,0,28,16
36,17,4,50,15.696969696969697,6,28,16
37,17,4,50,15.848484848484848,2,29,16
38,17,4,50,15.606060606060606,1,31,16
39,17,4,50,15.787878787878787,0,28,16
40,17,4,50,15.93939393939394,4,25,16
41,17,4,50,15.606060606060606,2,29,16
42,17,4,50,15.848484848484848,1,27,16
43,17,4,50,15.757575757575758,4,31,16
44,17,4,50,15.636363636363637,2,25,16
45,17,4,50,15.606060606060606,1,29,16
46,17,4,50,15.818181818181818,2,32,16
47,17,4,50,15.575757575757576,2,30,16
48,17,4,50,15.606060606060606,1,27,16
49,17,4,50,15.727272727272727,3,27,16
50,17,4,50,15.636363636363637,2,31,16
51,17,4,50,15.515151515151516,1,30,16
52,17,4,50,15.878787878787879,3,29,16
53,17,4,50,15.757575757575758,2,29,16
54,17,4,50,15.606060606060606,4,32,16
55,17,4,50,15.93939393939394,2,32,16
56,17,4,50,15.818181818181818,3,28,16
57,17,4,50,15.969696969696969,3,27,16
58,17,4,50,15.636363636363637,4,26,16
59,17,4,50,15.666666666666666,3,29,16
60,17,4,50,15.636363636363637,0,27,16
61,17,4,50,15.848484848484848,2,30,16
62,17,4,50,15.636363636363637,4,29,16
63,17,4,50,15.727272727272727,2,31,16
64,17,4,50,15.909090909090908,1,29,16
65,17,4,50,15.666666666666666,0,29,16
66,17,4,50,15.727272727272727,0,28,16
67,17,4,50,15.696969696969697,6,27,16
68,17,4,50,15.727272727272727,2,31,16
69,17,4,50,15.878787878787879,4,30,16
70,17,4,50,15.848484848484848,2,31,16
71,17,4,50,15.848484848484848,3,28,16
72,17,4,50,15.727272727272727,2,31,16
73,17,4,50,15.575757575757576,6,29,16
74,17,4,50,15.727272727272727,5,30,16
75,17,4,50,15.636363636363637,0,29,16
76,17,4,50,15.515151515151516,6,30,16
77,17,4,50,15.606060606060606,2,29,16
78,17,4,50,15.696969696969697,2,30,16
79,17,4,50,15.666666666666666,0,30,16
80,17,4,50,15.696969696969697,0,27,16
81,17,4,50,15.787878787878787,3,31,16
82,17,4,50,15.969696969696969,0,31,16
83,17,4,50,15.696969696969697,2,29,16
84,17,4,50,15.878787878787879,0,29,16
85,17,4,50,15.848484848484848,1,29,16
86,17,4,50,16,1,28,16
87,17,4,50,15.575757575757576,2,28,16
88,17,4,50,15.93939393939394,1,30,16
89,17,4,50,15.757575757575758,0,31,16
90,17,4,50,15.575757575757576,3,32,16
91,17,4,50,15.515151515151516,1,29,16
92,17,4,50,15.848484848484848,2,31,16
93,17,4,50,15.515151515151516,2,30,16
94,17,4,50,15.545454545454545,5,28,16
95,17,4,50,15.757575757575758,2,31,16
96,17,4,50,15.606060606060606,0,32,16
97,17,4,50,15.575757575757576,3,30,16
98,17,4,50,15.878787878787879,1,32,16
99,17,4,50,15.666666666666666,2,29,16
100,17,4,50,15.636363636363637,1,28,16
101,17,4,50,15.818181818181818,1,26,16
102,17,4,50,16,1,32,16
103,17,4,50,15.545454545454545,2,28,16
104,17,4,50,15.878787878787879,2,30,16
105,17,4,50,15.575757575757576,3,29,16
106,17,4,50,15.818181818181818,3,27,16
107,17,4,50,15.696969696969697,1,30,16
108,17,4,50,15.93939393939394,4,29,16
109,17,4,50,15.636363636363637,2,32,16
110,17,4,50,15.545454545454545,1,30,16
111,17,4,50,15.666666666666666,4,29,16
112,17,4,50,15.606060606060606,1,30,16
